 6.68677730e-03	 0.00000000e+00
 6.79174651e-03	 2.73288249e-10
 6.89836354e-03	 2.73288249e-10
 7.00665425e-03	 2.73288249e-10
 7.11664491e-03	 2.73288249e-10
 7.22836220e-03	 2.73288249e-10
 7.34183324e-03	 2.73288249e-10
 7.45708554e-03	 2.73288249e-10
 7.57414708e-03	 2.73288249e-10
 7.69304626e-03	 2.73288249e-10
 7.81381192e-03	 2.73288249e-10
 7.93647336e-03	 3.89217673e-10
 8.06106034e-03	 3.89217673e-10
 8.18760310e-03	 3.89217673e-10
 8.31613232e-03	 3.89217673e-10
 8.44667920e-03	 3.89217673e-10
 8.57927541e-03	 3.89217673e-10
 8.71395312e-03	 3.89217673e-10
 8.85074500e-03	 3.89217673e-10
 8.98968425e-03	 3.89217673e-10
 9.13080457e-03	 3.89217673e-10
 9.27414020e-03	 3.89217673e-10
 9.41972591e-03	 3.89217673e-10
 9.56759704e-03	 3.89217673e-10
 9.71778945e-03	 3.89217673e-10
 9.87033958e-03	 3.89217673e-10
 1.00252845e-02	 3.89217673e-10
 1.01826617e-02	 3.89217673e-10
 1.03425094e-02	 3.89217673e-10
 1.05048664e-02	 3.89217673e-10
 1.06697721e-02	 3.89217673e-10
 1.08372664e-02	 3.89217673e-10
 1.10073902e-02	 3.89217673e-10
 1.11801845e-02	 3.89217673e-10
 1.13556913e-02	 3.89217673e-10
 1.15339533e-02	 3.89217673e-10
 1.17150136e-02	 3.89217673e-10
 1.18989162e-02	 3.89217673e-10
 1.20857058e-02	 3.89217673e-10
 1.22754275e-02	 3.89217673e-10
 1.24681275e-02	 3.89217673e-10
 1.26638525e-02	 3.89217673e-10
 1.28626501e-02	 3.89217673e-10
 1.30645683e-02	 3.89217673e-10
 1.32696563e-02	 3.89217673e-10
 1.34779637e-02	 3.89217673e-10
 1.36895412e-02	 3.89217673e-10
 1.39044400e-02	 3.89217673e-10
 1.41227123e-02	 3.89217673e-10
 1.43444110e-02	 3.89217673e-10
 1.45695900e-02	 3.89217673e-10
 1.47983038e-02	 3.89217673e-10
 1.50306080e-02	 1.66980096e-09
 1.52665589e-02	 1.66980096e-09
 1.55062138e-02	 1.66980096e-09
 1.57496308e-02	 1.66980096e-09
 1.59968689e-02	 1.66980096e-09
 1.62479882e-02	 1.66980096e-09
 1.65030496e-02	 1.66980096e-09
 1.67621149e-02	 1.66980096e-09
 1.70252471e-02	 1.66980096e-09
 1.72925099e-02	 1.66980096e-09
 1.75639682e-02	 1.66980096e-09
 1.78396879e-02	 1.66980096e-09
 1.81197358e-02	 1.66980096e-09
 1.84041799e-02	 1.66980096e-09
 1.86930893e-02	 1.66980096e-09
 1.89865339e-02	 1.66980096e-09
 1.92845851e-02	 1.66980096e-09
 1.95873150e-02	 1.66980096e-09
 1.98947973e-02	 1.66980096e-09
 2.02071064e-02	 1.66980096e-09
 2.05243181e-02	 1.66980096e-09
 2.08465094e-02	 1.66980096e-09
 2.11737585e-02	 1.66980096e-09
 2.15061448e-02	 1.66980096e-09
 2.18437488e-02	 1.66980096e-09
 2.21866526e-02	 1.66980096e-09
 2.25349393e-02	 1.73452947e-09
 2.28886935e-02	 1.73452947e-09
 2.32480008e-02	 1.73452947e-09
 2.36129486e-02	 1.73452947e-09
 2.39836253e-02	 1.73452947e-09
 2.43601210e-02	 1.73452947e-09
 2.47425268e-02	 1.73452947e-09
 2.51309357e-02	 1.73452947e-09
 2.55254419e-02	 1.73452947e-09
 2.59261410e-02	 1.73452947e-09
 2.63331303e-02	 4.32200833e-09
 2.67465085e-02	 4.32200833e-09
 2.71663759e-02	 4.32200833e-09
 2.75928345e-02	 4.32200833e-09
 2.80259876e-02	 8.48671782e-09
 2.84659403e-02	 8.48671782e-09
 2.89127995e-02	 8.48671782e-09
 2.93666734e-02	 8.48671782e-09
 2.98276723e-02	 8.48671782e-09
 3.02959079e-02	 8.48671782e-09
 3.07714939e-02	 8.48671782e-09
 3.12545457e-02	 8.48671782e-09
 3.17451805e-02	 1.39200657e-08
 3.22435172e-02	 1.39200657e-08
 3.27496769e-02	 1.39200657e-08
 3.32637822e-02	 1.39200657e-08
 3.37859580e-02	 2.12202637e-08
 3.43163309e-02	 2.12202637e-08
 3.48550297e-02	 3.60063350e-08
 3.54021849e-02	 3.60063350e-08
 3.59579294e-02	 3.60063350e-08
 3.65223980e-02	 3.60063350e-08
 3.70957277e-02	 3.60063350e-08
 3.76780575e-02	 3.60063350e-08
 3.82695287e-02	 3.60063350e-08
 3.88702848e-02	 3.60063350e-08
 3.94804716e-02	 3.60063350e-08
 4.01002372e-02	 3.60063350e-08
 4.07297319e-02	 3.60063350e-08
 4.13691084e-02	 3.60063350e-08
 4.20185218e-02	 3.60063350e-08
 4.26781297e-02	 4.26297332e-08
 4.33480922e-02	 4.80147944e-08
 4.40285718e-02	 4.80147944e-08
 4.47197336e-02	 6.11291057e-08
 4.54217452e-02	 6.11291057e-08
 4.61347771e-02	 6.11291057e-08
 4.68590021e-02	 6.11291057e-08
 4.75945961e-02	 6.11291057e-08
 4.83417374e-02	 6.11291057e-08
 4.91006073e-02	 6.47322751e-08
 4.98713901e-02	 6.47322751e-08
 5.06542726e-02	 6.47322751e-08
 5.14494448e-02	 6.47322751e-08
 5.22570996e-02	 6.47322751e-08
 5.30774330e-02	 6.47322751e-08
 5.39106441e-02	 6.47322751e-08
 5.47569349e-02	 9.91929305e-08
 5.56165108e-02	 9.91929305e-08
 5.64895804e-02	 9.91929305e-08
 5.73763554e-02	 9.91929305e-08
 5.82770511e-02	 9.91929305e-08
